Gig Name,Character Length
"SCORPIO RISING III: GUTZIG + BECCY & THE VAMPS + PROBOSCIS + LATE NIGHT KARAOKE",79
"Society of Beggars, Superdiver & Tile. (FREE SHOW)",50
"It Thing ""Spirit Level"" EP Launch with Bitumen and Kitchen People",65
"Katie May and The Mystics + J. Taylor Bell & The Ding Dongs",59
"Forro Night",11
"Bloo: an Indie Rock Charity Event",33
"Hard-Ons 40th Anniversary Australian Tour - Melbourne",53
"Fenn Wilson and the Weather,Maggie Alley",40
"Creature Fear",13
"The Dave Beck Quartet",21
"Fur Blossom – Witcher Single Launch (Halloween Havoc)",53
"Smoking Vinyl (Front Bar)",25
"Albi & The Wolves (NZ) w/ Ally Row",34
"EMEREE 'Gold' Tour",18
"James Reyne",11
"Midnight Driver | with Edd Fisher & Emelyne",43
"Sin City + Foggy Notion + Wild Dog Mountains - Halloween Show",61
"HELLIONS",8
"DJ",2
"LAUNDRY HALLOWEEN",17
"A VERY HORSEGROUP HALLOWEEN",27
" RITMO LATINO",13
"The Tote Record Fair!",21
"Matinee: Software Update (Album Launch)",39
"Blue Sabbath + Jungle Jim Smith",31
"FREE ENTRY ARVO SHOW: MATT MALONE & THE HOLY SPIRITS + THE UNDERMINERS",70
"Club Elevate Selects",20
"Room 25 Single Launch",21
"01.EKKA 'IRON GARDEN' Performed Live, Featuring MOG.Y, MAMMOTH & Eric Spice, KELLY GANG, and More",97
"Outer Worlds - DEMARCATION EP Launch",36
"01.EKKA 'IRON GARDEN' Performed Live, Ft MOG.Y, MAMMOTH & Eric Spice",68
"Tropical Fuck Storm w/ The Judges",33
"Quality Used Cars + Foley!",26
"BAD MEDICINE: Medical Worker's HOSPITALity Night w/ Live Band Karaoke",69
"WOBBYGONG + THE ALIVE EAST + BAD NEWS GOSPEL + BIG PANTS",56
"Baby Blue and Anna (Moody Beaches)",34
"The Yachtski Brothers",21
"Cosmonaut Album Launch",22
"Mac The Knife - Golden Single Tour",34
" The Brett Williams Trio",24
"HALLOWEEN HUMAN HARVEST w/ Furious George + I Choose Violence + Deadweight 80 + Endless Grey + Pendle Hill",106
"UNI/VS 'A Chosen Death' Australian Tour 2024 | Melbourne | 18+",62
"The Colliflowers 'Ordinary People' Tour",39
"James Reyne",11
"Zeitgeist Freedom Energy Exchange | with special guests Finn Irregular and Laani",80
"Saturday Night DJ",17
"Astrofuzz (album launch) with Select All and Drenched",53
"Resident DJ - Saturday",22
"DJ",2
"FLAVOUR",7
"ALL HALLOW'S EVE AT BAD DECISIONS",33
