Gig Name,Character Length
"Wöølworths\\Flushot with Derrotonin and Real Name",49
"Annie & The Make Believe- 'It Got Bad' Single Launch",52
"The Tipplers (Front Bar)",24
"Black Jesus Experience",22
"Domingo Latino - La 45",22
"Hannie Day w/ Charlotte Bridie + No Turns",41
"Sugargum",8
"Bôa (UK)",8
"DISPLACED RECORDS: MYSTERY SHOPPERS + SCOWLS + MOUSE ORCHESTRA",62
"HH & Sax Gawn",13
"** FREE EVENT ** NORTHERN SHINERS",33
"DNB Mondays Weekend Extender",28
"NIEUW MONDAYS",13
"Hey Smith (JPN) + Voodoo Glow Skulls (USA)",42
"FREE ENTRY MORBID MONDAYS: USER + CALYX",39
"ARBORISTS + CRIIMES",19
"Make It Up Club",15
"Andy Shauf (CAN - solo)",23
"Grim Rhythm",11
"Mukul Jiwnani",13
"The Collingwood Crawl | The Bendigo Hotel",41
"The Schooners with Push The Trigger & Defibrillator",51
"The Collingwood Crawl | The Tote",32
"The Collingwood Crawl | The Gasometer",37
"Dastco w/ Freebooter Republic and Blue Tongue Wizard",52
"Afrospace Jazz Industry",23
"Waxahatchee (USA)",17
"Obdurate Residency w/ Nausicaa + Splitlanes",43
"The Mark Fitzgibbon Trio",24
"DUB FX - INFINITE REFLECTION SHOWCASE - feat. Sahida Apsara | Support by ANDY V",79
"FREE ENTRY KARAOKE",18
"The rookies - Jazz",18
"Sunny Daze",10
"The Collingwood Crawl | The Tote",32
"The Collingwood Crawl | The Gasometer",37
"The Schooners with Push The Trigger & Defibrillator",51
"The Collingwood Crawl | The Bendigo Hotel",41
"Dastco w/ Freebooter Republic and Blue Tongue Wizard",52
"DUB FX - INFINITE REFLECTION SHOWCASE - feat. Sahida Apsara | Support by ANDY V",79
"Afrospace Jazz Industry",23
"Waxahatchee (USA)",17
"The Mark Fitzgibbon Trio",24
"Obdurate Residency w/ Nausicaa + Splitlanes",43
"FREE ENTRY KARAOKE",18
"The rookies - Jazz",18
"Sunny Daze",10
"The Propane Trio (Front Bar)",28
"Tinkle Thursdays Singalong Session",34
"Cammi Kol 'Forever Goodbye' Single Launch",41
"Andy V",6
"THURSDAYS WITH THE RAILWAY GANG",31
"Connor Randles (EP Launch)",26
"GRINDHOUSE ALBUM LAUNCH AT THE TOTE W/ VOIDOUT AND SEVEN INCH STARE",67
"BLANCO TRANCO + COMEDY + TOMMY CARLOS",37
"Amanduh - Eye To Eye Single Launch",34
"VALENTA: CALL ME UR VANDAL",26
"MIKE",4
"IMFRESHMEAT with EDM and MOBHEAD",32
"Blow",4
"Signs Of Change w/ Saturday Escapades + The Ferns",49
"Chris Rozakeas Quintet",22
"THIRSTY MERC - Electric Summer Tour!",36
"THE REPORES 'MIDDLE OF NOWHERE' SINGLE LAUNCH",45
"Jarrod Shaw",11
"Honkytonk",9
"Shay Bakar, Sister Sara",23
"Acoustic Act",12
"The Four Scoops (Front Bar)",27
"A VERY MERRY (And Jolly) CHEAP-SKATE CHRISTMAS FUNDRAISING BONANZA 2",68
"Waxfox",6
"Acoustic Music",14
"Tarot [Tas] -Melbourne Album Launch",35
"3-2-1",5
"THE OILS: A Tribute to Midnight Oil",35
"Ski Whiz 'Where We Go' Single Launch with Special Guests Skiptons and The Satts",79
"Asanti Beats",12
"The Breadmakers as The Unknown Blues - Dave Hogan's 75th Bday!",62
"Stephen Magnusson Trio - Live Recording!",40
"Wade Forster - 'The Drifter' Tour",33
"Mia June (Single Launch)",24
"Harriet Wraith’s Solo Show with Araminta and Chloe Hari",55
"TYLER RICHARDSON (LUCA BRASI) + BEC STEVENS + KELSIE RIMMER",59
"Euphoric Beats",14
"A Fundraiser for Palestine - with Clamm and Tongue Dissolver",60
"Jamie Webster (UK)",18
"AERIQAH WITH BENJAMIN TRILLADO LIVE ON STAGE AT SUGAR GLIDER",60
"Parle Green w/ Tam Vantage + Molly Mckew",40
"VICTIM (NZ)",11
"Huckleberry and the Devil's Dandruff",36
"DJ",2
"TRASH Indie Sleaze and Party bangers",36
"Mikey Goodfellow",16
"Woody Samson",12
"Chromakopia Release Party - Melbourne",37
"DJ Lewy C",9
"3065 PARTYGIRL with GAY ROBERTO",31
"Boteco Do Faguinho",18
"The Tote Record Fair!",21
"Matinee: Michael Ward Trio",26
"Gazebo Recs",11
"LOUD WOMEN FEST ft. R.U.B., Smallways, Daddy Issues, Blake Williams, Wom Girlz & More",85
"Sammy Dee, Tim Heaney, Magda Bytnerowicz and Moopie",51
"FREE ENTRY ARVO SHOW: GOLD GULL + SUZIE SO BLUE",47
"Open Heart Kirtan",17
"Pulse Takeover 002",18
"4pm JAM Big Band",16
"Acoustic solo",13
"Ant Eye Comedy (Gold Coin Donation)",35
"Acoustic Music",14
"Sugar Plump Fairy",17
"BASS REVIVAL: WONDERLAND",24
"ALWAYS LIVE presents Sex Mask at The Evelyn Hotel",49
"Infinity Song (USA)",19
"TURTLE SKULL + BURIED FEATHER + SHROUD + TTTDC",46
"total tommy ‘bruises tour’",26
"Punk For Palestine ft Cimiterium, Reaper, Jalang, Phantasm & Paroxys",68
"Teramaze",8
"Alarum: RECONTINUE Album Launch",31
"POSSESHOT 'OPERATION BURNER RAP' TOUR",37
"Astro Elevator Cosmo Vortexia Album Launch with Pretty Good Sofa and Bellhop",76
"Julien Wilson's ""One Flight Up"" Quartet",39
"Lizard Lounge 'Groove Is In The Heart' #2 – Back by overwhelming demand!",72
"To Octavia w/ Pretty Bleak + TILE",33
"Jack White",10
"TRVE KVLT II - HEAVY & HARDCORE",31
"Resident DJ - Saturday",22
"Goodestboialive",15
"Saturday Night DJ",17
"AXED X TECTONIC TECHNO & HARDCORE",33
"SATURDAY NIGHT PARTY AT YAH'S ",30
"DJ",2
"The Amigos",10
"Harrisen Hughes",15
"Eat The Beat : Together",23
"Chromakopia Release Party - Melbourne",37
"Gateway Festival Afterparty: Jovonn (All Night Long) (DJ Set)",61
"Midnight Circuitry / Synaptic Dreams (Front Bar)",48
"DJ Nomar Jr",11
"DJ (Rooftop)",12
"Matinee: Dog In The Dump Truck",30
"Esha Tewari - Debut Aus Tour",28
"The Dive Bombs + Masters of the Flying Guillotine",49
"Aqueous x Luna Blessings pres. Fafi Abdel Nour",46
"FREE ENTRY ARVO SHOW: THE RARTEL + PLANETS CARAVAN",50
"SUNDAY SESSIONS WITH YOLANA INGLEY II BAND",42
"CRAIG WOODWARD TRIO LIVE AT THE CATFISH",39
"Opelousas",9
"Stingo Blues",12
"Kimi Nakagawa (Japan)",21
"TenderLena",10
"Esha Tewari - Debut Aus Tour (Second Show)",42
"Sylvia, Reckon and Cari Scharl",30
"Farewell to Oz 2024"" feat MARK STEINER & HIS PROBLEMS + KIM VOLKMAN & THE WHISKEY PRIESTS + JP SHILO + JULITHA RYAN + EDEN",122
"The Chilli Pickers (Front Bar)",30
"Black Jesus Experience",22
"Domingo Latino - La Influencia",30
"SNOWGUM PRESENTS: SLCJH + SUNNY MORRIS + HUGH FUCSHEN + WINTER McQUEEN & ACACIA PIP",83
"'Sagittarian B'Day Bash' ft. Trix William & Ivory Archer",56
"dOOb's Mixtape Album Launch / SIR W4TTS",39
"Lakeview",8
"Jess Hitchcock + Freya J Hollick",32
"Lewis C",7
"NIEUW MONDAYS",13
"MORBID MONDAYS: THE BAWDIES (Japan) + FRENZEE (Greece)",54
"THE FUNDRAISER H.O.E.-DOWN",26
"Mannequin Pussy (USA)",21
"Make It Up Club",15
"JADED",5
"‘Melbourne Indie Voices Present’ Music Nerdz Karaoke",52
"Tongue Dissolver, Serpette, Rain Dogs + Kisses",46
"Afro Space Jazz Industry",24
"DOLE NIGHT W/ MUDDY LEMONS AND FUR BLOSSOM",42
"Kathleen Halloran ""Free With Me"" Single Launch",46
"The Mark Fitzgibbon Trio",24
"LIVE COMBO DEAL: SAN supported with Big Fat Elephant, The Statts & Tastydaze",76
"Obdurate Residency w/ Contact Sport + Sweatshop",47
"FREE ENTRY KARAOKE",18
"The rookies - Jazz",18
"‘Melbourne Indie Voices Present’ Music Nerdz Karaoke",52
"Afro Space Jazz Industry",24
"Tongue Dissolver, Serpette, Rain Dogs + Kisses",46
"Kathleen Halloran ""Free With Me"" Single Launch",46
"DOLE NIGHT W/ MUDDY LEMONS AND FUR BLOSSOM",42
"The Mark Fitzgibbon Trio",24
"Obdurate Residency w/ Contact Sport + Sweatshop",47
"LIVE COMBO DEAL: SAN supported with Big Fat Elephant, The Statts & Tastydaze",76
"FREE ENTRY KARAOKE",18
"The rookies - Jazz",18
"Rod Paine & the Fulltime Lovers",31
"Tinkle Thursdays Singalong Session",34
"Tinkle Thursdays Singalong Session",34
"Fusion Express (Front Bar)",26
"ALWAYS LIVE presents Sex Mask at The Evelyn Hotel",49
"Junkyard Wizards, Clyde St, Fifth Quarter",41
"Bowling For Soup (Good Things Sideshow)",39
"Betty Taylor",12
"STELLA BRIDIE + CHITRA",22
"Allysha Joy ""The Making Of Silk"" World Tour",43
"FELLVIEW-""Shell ep Launch""",26
"ALETHIA X Vanessa Estrada X Liana Perilla",41
"Two Weeks of Summer with The Late In The Evening Band - Week 1",62
"Mini Waters - Where the Heart Is Single Launch",46
"Killing in the Dame /My Grinding Mind/ Unto The Breach at The Gaso!",67
"Fran Swinn/ James Sherlock Quartet",34
"Laneous and Friends",19
"Blow",4
"THURSDAYS WITH THE RAILWAY GANG",31
"Breaking Sound Melbourne",24
"Freya Josephine Hollick | Live at Punters Club",46
"Honkytonk",9
"Acoustic Act",12
"Casey | Rooftop DJ Sessions",27
"Three Base Hit (Front Bar)",26
"Deeplove",8
"Acoustic Music",14
"Bloom 'The Works of You' Release Show",37
"Ally Hocking Howe Trio",22
"3-2-1",5
"DOGFEST: Part 2",15
"Polarize,Taylor Carroll",23
"Andrea Keller Transients Quartet",32
"Asanti Beats",12
"DEAR SEATTLE + LUCKY",20
"DERAILMENT / GRAVEPEELER / THE NIHILISTIC FRONT",47
"S.C.R.E.W. XXXMAS",17
"Nightmare on Brunswick Street",29
"Box Thorn & Mountain crew rock out for Ellis Park",49
"Honky Tonk Town - A Country & Western Dance Party **Christmas Special**",71
"Dellacoma (Single Launch)",25
"Dialog ""Doctor"" Single Launch with Gavin and Westgaet Special",61
"AWOL, Outsiders Code, Dizdain, Tarnished at the Bendigo",55
"Merkani w/ The Heartstrings Band + Amalie",41
"Video Life",10
"TEK TEK (album launch)",22
"Georgia Knight and friends",26
"DJ",2
"Cumbia Clash",12
"DJ Boyoliver",12
"Taylor Swift's Birthday Party Celebration!",42
"Free Live Music @ Baxter's",26
"Interval x Transition x TNT - Entasia + Pat De Ruiter",53
"Free Live Music @ Baxter's",26
"Bubble x New Guernica Pres. OLDBOY (UK) &amp; DJ COSWORTH (UK)",62
"Tommy Sexton & The Suggestions | Live at Punters Club",53
"Willem",6
"Catch Da Riddim Featuring: Max Shotta, Jaskola, Martha, Lego",60
"TERRESTRIALS + SEAS OF TITAN + PALPITATIONS",43
"Midnight Circuitry / Synaptic Dreams (Front Bar)",48
"The Evelyn Market",17
"CRÉME DE LA FEMME II",20
"Matinee: The Patients",21
"COCO JUMBO 'LAST EVER SHOW' W/ DADDY ISSUES",43
"Greeble + D-Beam at Nighthawks",30
"FREE ENTRY ARVO SHOW: SUBJECT TO CHANGE",39
"Sweetie & Friends | Rooftop Vinyl Sessions",42
"Acoustic solo",13
"Funky Kingston LIVE!",20
"Acoustic Music",14
"Shakerfaker take The Persa",26
"Phoebe Go Live On Tour",22
"La Furia - Unplugged/Uncovered/Unleashed",40
"Twominds & Teeth Clippers Present: KASSIAN (UK)",47
"Swim State",10
"Twitch DJs Presents Energize - 14.12.24 @ Laundry Bar",53
"GRACE ROBINSON + KYLE GLOVER + SKINNY WIZARD",44
"SKUX | Melbourne Pop Up Show",28
"Grindhouse + The Monaros - 'Wank' Beer Launch",45
"Flesh Bodega at Nighthawks",26
"The Craig Fermanis Trio!",24
"Tudor Club - fundraiser for Black Dog Institute",47
"The Sprouts,sweet and nastie,'DAG'",34
"Gutless HIGH IMPACT VIOLENCE Album Launch",41
"Heat, RAT BAIT, Threat, Bright Sun, and Death Tax at the Tote",61
"WHAT I'VE BEEN LIVIN' FOR - SINGLE LAUNCH SHOW",46
"The Mongrels w/ B-Sides + Insane band",37
"Superchunk (USA)",16
"Resident DJ - Saturday",22
"DJ",2
"SophieOlivia",12
"Free Live Music @ Baxter's",26
"ARCHIE – ‘So Far Away From Me’ Tour ! SAT DEC 14",48
"The Amigos",10
"Deadweight 80 + Diskust + Loner + Get Rekt + All Monsters Are Human",67
"Saturday Night DJ",17
"Eat The Beat : Elevate",22
"Free Live Music @ Baxter's",26
"Tentendo | Live at Punters Club",31
"Underground Lovers Moda Discoteca | Live at Punters Club",56
"Juno Mamba + Paris",18
"Toy Tonics Jam ft. Sam Ruffillo & Gee Lane — Kanvas Presents",60
"Whispering Sky - Tenzin Choegyal and Tenzin Kunsang",51
"Dogma Tapes Presents Musica Electronica II ft. Heather Vomiting Goo, Teeth Dreams, Three Mothers, Twin Soul, Collie Perfect + Secret Guest",138
"DJ (Rooftop)",12
"'WHAT GOES ON!' ft. Digger and the Pussycats",44
"Lyric - The Nostalgia Tour",26
"Poison City Records - End Of Year Boogie",40
"CONFIDE Queer Summer Sunday Series ☼ Vol. 7",43
"FREE ENTRY ARVO SHOW: DAVE JOHNSTONE BAND (AMMONIA) + CYCLONE MAVIS",67
"The Hornets",11
"The Garbage and The Flowers",27
"Spoonful",8
"Ally Hocking Howe & Ragged Blossom",34
"LINA : SOFT LAUNCH",18
"Stingo Blues",12
"Lego Selector",13
"The Stetson Family",18
"Fisheye at Nighthawks w/ Sugargum and CARE!",43
"The Punters | Every Sunday at Punters Club",42
"Black Jesus Experience",22
"𝖇𝖆𝖉 𝖋𝖑â𝖓𝖊𝖚𝖗 ~ᴀ ʀᴇᴀᴅɪɴɢ~",32
"Harmaniax (Front Bar)",21
"HELL UPSTAIRS",13
"JACK DAVIES (WA) + CLAUDIA JOY (WA) + ANNA SCHNEIDER + BILLY BARKER",67
"Free Live Music @ Baxter's",26
"Soul Of Fitzroy | Rooftop Jazz & Soul Party | With Northside Records",68
"OUR WEEKENDS END ON MONDAYS | with Sam Bambery + Dopey Mick",59
"NIEUW MONDAYS",13
"FREE ENTRY MORBID MONDAYS: NON + ZOMBIE HUNGER",46
"DNB Monday ft. Bry, Telemikus, Quality Time, Nish Diaz, Matt Frequencies",72
"GHOSTS! OF CHRISTMAS PAST w/ CREEPY TWINS + SOUND FOSSIL + BJ MORRISZONKLE & NERO FRIKTSCHN FEURHERDT",101
"Make It Up Club",15
"FOLEY!!! ♡ END OF YEAR CHRISSY BASH ♡ @ THE TOTE FRONT BAR",58
"'THE PROPOSAL""",14
"Humane Live @ The Tote w/ Little Theatre &  Abraham Kenny",57
"TAINTED FACADE AT THE GASO",26
"Dub FX and the CONVOY UNLIMITED - feat. Sahida Apsara",53
"Obdurate Residency w/ Titration + The Terrapins",47
"Afro Space Jazz Industry",24
"The Garbage and The Flowers",27
"The Mark Fitzgibbon Trio",24
"When Dream and Theater Unite II",31
"FREE ENTRY KARAOKE",18
"The rookies - Jazz",18
"'THE PROPOSAL""",14
"TAINTED FACADE AT THE GASO",26
"Humane Live @ The Tote w/ Little Theatre &  Abraham Kenny",57
"Dub FX and the CONVOY UNLIMITED - feat. Sahida Apsara",53
"The Mark Fitzgibbon Trio",24
"Obdurate Residency w/ Titration + The Terrapins",47
"Afro Space Jazz Industry",24
"The Garbage and The Flowers",27
"When Dream and Theater Unite II",31
"FREE ENTRY KARAOKE",18
"The rookies - Jazz",18
"Interface presents: Day Party @ the Gaso ft. Moopie",51
"Tinkle Thursdays Singalong Session",34
"Skabhangers (Front Bar)",23
"Cass Aware",10
"PARA FUNDRASIER w/ RIN McARDLE + HANNAH McKITTRICK + ROMANIE",60
"BAD MEDICINE: Medical Worker's HOSPITALity Night w/ Live Band Karaoke",69
"KILAT PRESENTS END OF YEAR XMAS SHOW AT THE TOTE",48
"Geography ""What You Want""  Single Launch",40
"Two Weeks of Summer with The Late In The Evening Band - Week 1",62
"Don Glori",9
"SMNKSMT LIVE",12
"THURSDAYS WITH THE RAILWAY GANG",31
"Blow",4
"Laneous and Friends",19
"Orange Orange with Dog Door and Bowlos",38
"Erica Avenue (Single Launch) w/ Daezy + The Statts **SOLD OUT**",63
"Henry Sweets Trio",17
"SOPHISTICATED DINGO - As Good As It Gets - The Christmas Tour",61
"Lord Rochester (SCO) + Plastic Section",38
"Honkytonk",9
"Riflebirds | Live at Punters Club",33
"Acid Chess Club",15
"Kuzco,Wamboi",12
"The Four Scoops (Front Bar)",27
"Blaberunner + Gupstar",21
"Hysteric | Rooftop DJ set | Live at Punters Club",48
"New Delica Xmas Show",20
"Acoustic Music",14
"Acoustic Act",12
"Blondehouse ‘Fear of the Unknown’ EP Launch",43
"An Evening of Terror with Dreamworm",35
"3-2-1",5
"Asanti Beats",12
"UNCOMFORTABLE SCIENCE",21
"The Ronson Hangup (Christmas Show)",34
"A Pool House Christmas Presents: The Smith Street Band + Press Club",67
"Select All’s Christmas gig at the Tote",38
"Belle Haven Xmas Show",21
"Christmas With Albert Salt",26
"SO.Crates - Be-Sides and Rarities Album Launch",46
"WILLIE J’S 6v6s - Launch + SCARNON",34
"Ben Wright Smith & Friends (single launch) + Ellen James and the Waning Crescents",81
"Atomic Disco",12
"Soft Star and Racoo",19
"Soup and the Crouton EP Launch: The Death Dreams vol II",55
"Blowers with Super-X, R.U.B and TENCH",37
"Kandalini EP Launch with ROMCOM",31
"Upper90 & Dance Power Invites",29
"Forrer w/ Githmi + Isabella Fortuna",35
"XXXMAS A Christmas Party!",25
"Quattroformaggi",15
"Carmen Electro + Inafekt",24
"NEXT CROP",9
"DJ",2
"MacQueenie Christmas Karaoke",28
"In The House Presents Osmosis Jones & Prize Fight",49
"S*WITCH - DRUM & BASS",21
"Lay Down The Groove ft. DJ Luv You | Free entry",47
"DJ PGZ",6
"CRUSHED LAVENDER @ THE CATFISH",30
"Gold Haus Day Party at The Gaso",31
"The Hot Blood Live On The Floor w/ support from The Pokies.",59
"FREE ENTRY ARVO SHOW: THE TOMMYS + PLASTIC SECTION",50
"Tainted Facade with Em Di Em Ae (ARVO SHOW)",43
"Bby Cass, Joy Boy",17
"Sweetie & Friends | Rooftop Vinyl Sessions",42
"Live Music Saturday",19
"Acoustic solo",13
"Acoustic Music",14
"Beers4Queers",12
"UNBOUND: Celebration & Fundraiser",33
"PSYCHO SEQUINZ - A Glam Rock Christmas",38
"HYLA âIn The Green Shadeâ Album Launch",42
"The Paul Williamson Quartet plays the music of Thelonious Monk",62
"JUICE. JUNCTION LIVE PRESENTS: VERBRASCO + CHLOE BOOTH +  THE OPALS",67
"CLUB RIOT Presents: QUEER CHRISTMAS",35
"gesùnolike and friends: Astral High, Cooldad and Anne's Lace, Live at the Tote",78
"Sadie Mustoe (Single Launch)",28
"The Dr. Colossus Christmas",26
"The Straight Shooters w/ The Satts + The Outfits",48
"DOUGALFEST ",11
"The Amigos",10
"Saturday Night DJ",17
"BARKADA NIGHT: End of Year Party",32
"Last Nite: Indie Party - Melbourne",34
"DJ",2
"Dennis",6
"TECTONIC PRESENTS DEATHMACHINE (UK) | FREE ENTRY",48
"Midnight Circuitry / Synaptic Dreams (Front Bar)",48
"James Dela Cruz (DJ set) | Punters Club",39
"CARAVAN CLUB 'The Drive Home' SINGLE LAUNCH W/ PERFECT BLUE & BEC JEAN",70
"DJ (Rooftop)",12
"The Punters | Every Sunday at Punters Club",42
"Deep Dance Breakup Party",24
"SUNDAY SESSIONS WITH WOLF AND WILLIE",36
"El Midnight Creep",17
"Nitida & The Hottiehotstuffs",28
"The Civilians",13
"Soul Of Fitzroy | Rooftop Jazz & Soul Party | With Northside Records",68
"Black Jesus Experience",22
"Malcura (Front Bar)",19
"Domingo Latino - Sazón",22
"JOSHUA SEYMOUR + MILL O'SULLIVAN (PORPOISE SPIT) + CROP TOPS (SOLO)",67
"MindStain - Headline Show",25
"The Nova Fiends with Kotlas Begemot, and Joynt Venture",54
"Dan & Al (Xmas Show)",20
"'GROND-MAS EVE EVE EVE'",23
"NIEUW MONDAYS",13
"MORBID MONDAYS CHRISTMAS RIOT! w/ MUDDY LAWRENCE + MILLIMETRE WAVE",66
"Paul Williamson's Hammond Combo",31
"RATBAIT - ROCKIN XMAS EVE @ THE TOTE",36
"Daal N Bass Vol.1 ft. Panjabi MC",32
"James Brown-A night to remember",31
"James Brown-A night to remember",31
"Boxing Day Blues and BBQ",24
"Tinkle Thursdays Singalong Session",34
"Wretla + Marli - Boxing Day Into night",38
"Blow",4
"Eamon McNelis's ""The Skellingtons"" feat Stephen Grant on alto saxophone!",72
"Human Space Machine",19
"Rummiklub",9
"Acoustic Act",12
"Finn Rees (DJ set) On the Rooftop | Live at Punters Club",56
"Wolfie",6
"Surrounded By Sound",19
"Acoustic Music",14
"3-2-1",5
"SLOE JACK | Live in Melbourne",29
"The Omnific | Live At The Tote",30
"Kegi",4
"The Carl Mackey Quartet",23
"SALMON SISTERS - Launch + B SIDES + ELA & THE SHINKICKS + PEPPER LA FLOYD",73
"Black Dethmass At The Bendi: Scaphis + Project: Ultimate Satan (ACT) + Thallium + Tiger Driver",94
"Sleazy Hormigas (Single Launch) w/ Los Parceros + Munkus Funkus",63
"NICK BAM Krush Grooves",22
"Pink Pony Club - Melbourne",26
"DJ",2
"SUPERNATURE",11
"Post Hexmas afternoon gig of Intimate Harmonic Noise with: Alarms, future tongues & drone state",95
"FREE ENTRY ARVO SHOW: JOHN KENNEDY BAND + TEN GALLON HEAD",57
"Lemmy day 2024 at The Gaso!",27
"Acoustic solo",13
"Acoustic Music",14
"Ambie Dextrus",13
"Kick On End of Year Party",25
"80's Night",10
"Crestfallen",11
"The Brett Williams Trio",23
"STEPDAD ADVICE + HONEYMOON PHASE + TEACHER’S PET",48
"A Very Good Christmas",21
"SHIRKHER w/ LXRP + Realname",27
"Resident DJ - Saturday",22
"Saturday Night DJ",17
"Slim Maybe",10
"Ciara",5
"SICKEST HOUSE presents NITEPUNK (USA)",37
"DJ",2
"The Amigos",10
"Laundry presents: THE BEST OF 2025",34
"Dave Lee (JN) At The Night Cat",30
"Eluize",6
"DJ (Rooftop)",12
"The Punters | Every Sunday at Punters Club",42
"Tam Vantage // Jack Spencer Free - Tote Front Bar - Free Entry",62
"Jules Boult and the Redeemers",29
"Jules Boult and The Redeemers",29
"Stingo Blues",12
"Annie Rose Maloney",18
"Soul Of Fitzroy | Rooftop Jazz & Soul Party | With Northside Records",68
"Soft Excursion Presents",23
"The Chilli Pickers (Front Bar)",30
"Black Jesus Experience",22
"Domingo Latino - Calle Luna",27
"KINCAID ‘Hiatus Party’ with Kash, Mellowing and DOGi KATZ",57
"PUNK-O-RAMA",11
"IT'S CAMP DRAG SHOW",19
"DNB Mondays Goodbye 2024",24
"MORBID MONDAYS END OF YEAR BLOWOUT w/ BAD LOO TENANT + VIOLET DREAD + CAUSTIC GRIP",82
"NYE W/ DISKO BIZARRO & FINDERS KEEPERS RECORDS (UK)",51
"NYE AT THE YARD",15
"NYE AT RADIO",12
"NYE AT THE YARD",15
"NEW YEAR'S EVE COUNTRY CLUB",27
"NYE: FRENZEE - Launch + GRIM RHYTHM + TANKERVILLE + THE ANTICS",62
"NYE at the Terminus",19
"1925 - Vive La Difference!",26
"NYE Rock n Roll at WWW!",23
"New Years Eve @ Old Plates",26
"Call Me Maybe: New Years Eve Party - Melbourne",46
"Gaso is doing NYE!",18
"BREW YEAR'S EVE",15
"Call Me Maybe -NYE Party",24
"New Years Eve Y2Slay! Yah Yahs Dec 31st",39
"Hillbilly Scots NYE at the Lomond",33
"QUESTLOVE (Exclusive DJ Set) | NYE at The Night Cat",51
"New Year's Eve",14
"FAST GRIND FEVER NYE 2024",25
"BONEZ New Queers Eve",20
"Battlesnake (NYE Party)",23
"New Years Day Recovery",22
"CONFIDE × KAYZAR – N.Y.D. 2025",30
"New Years Day Recovery",22
"CONFIDE × KAYZAR – N.Y.D. 2025",30
"Standing Circle (Front Bar)",27
"War Penguin w/ The Riffer's Den + A Study in Red",48
"Laneous and Friends",19
"Billie Marten (UK)",18
"Yaya Bey",8
"The CB3 | LIVE at Punters Club",30
"Blue Grassy Knoll | Live at Punters Club",40
"Acoustic Act",12
"The Four Scoops (Front Bar)",27
"EXXXSTASIA",10
"3-2-1",5
"Hank Williams Tribute ft Chris Jacobs, Peter Baylor & more. With DJ James Elles",79
"Big Breakfast",13
"RANDY HOUSER - One Night Only Solo Acoustic Performance",55
"SWEAT Charli XCX +Troye Sivan",29
"B'DAY BASH [Burn in Hell & ScarnOn]",35
"DJ",2
"Legless RnR Holiday",19
"Acoustic solo",13
"TattooRose Live",15
"Keratin- Death & Rebirth 7"" Launch",34
"Ghetts (UK)",11
"The Refuge w/ Seven Pound Halo + Chelsea @ The Tote Upstairs",60
"Skram - The Neverending Cabaret Tour",36
"Notch w/ The Byrnouts + Jasmine Matthews",40
"DJ",2
"SATURDAY NIGHT PARTY AT YAH'S (till 5AM)",40
"Detroit’s Music Institute w/ Alton Miller, Chez Damier + Secret International",77
"Saturday Night DJ",17
"The Amigos",10
"Resident DJ - Saturday",22
"The New Kids 3",14
"DJ (Rooftop)",12
"Conqueror Root",14
"Stingo Blues",12
"The Chilli Pickers (Front Bar)",30
"Black Jesus Experience",22
"Domingo Latino - La 45",22
"RECKON + CASSELLS + BUZZ & THE PICKUPS",38
"DNB Mondays Hello 2025",22
"NIEUW MONDAYS",13
"MORBID MONDAYS w/ DECIDE TODAY (USA) + SCHKEUDITZER KREUZ + ELEKTRONIK GIRL EPIC",80
"Lovely Lonely Landfill",22
"JUNGLE JIM SMITH @ THE TOTE FRONT BAR",37
"Mimi O’Bonsawin + Norwood",25
"Darcy Fox",9
"Cycad (Residency, Week #1)",26
"Carr Li Kennedy",15
"DOLE NIGHT w/ Ze Wisenheimer & Low Monroe & The Fugitives",57
"FREE ENTRY KARAOKE HOSTED BY FREE WHEELIN SEAN WHELAN",53
"Jack Milligan",13
"Cycad (Residency, Week #1)",26
"DOLE NIGHT w/ Ze Wisenheimer & Low Monroe & The Fugitives",57
"Carr Li Kennedy",15
"FREE ENTRY KARAOKE HOSTED BY FREE WHEELIN SEAN WHELAN",53
"Jack Milligan",13
"Tinkle Thursdays",16
"Shelly's Motor Club (Front Bar)",31
"Lace Dress (Debut Show)",23
"High Angle Beams EP launch",26
"Carr Li Kennedy",15
"Horatio Luna",12
"Creeping Jenny - 'Milquebox' EP Launch Tour | Melbourne",55
"Greeble + Lalu + Tellerwood vs the Endless March of Time",56
"GOOD MUSIC PRESENTS: 'CIGERETTES & ALCOHOL' w/ CHLOE BOOTH + SOTV + LAZY DINGO",78
"Blow",4
"Andrea Robertson",16
"Singles Night #2",16
"BUNT | SECOND SHOW ADDED",24
"Lewis C",7
"Acoustic Act",12
"Malcura (Front Bar)",19
"KILAT PRESENTS END OF YEAR XMAS SHOW AT THE TOTE",48
"The Stephen Magnusson Trio",26
"3-2-1",5
"The ‘68 Love Revival Rocks The Gaso!",36
"BODIES + FUTURE TONGUES + COMEDY + ANOTHER ROTTING CORPSE",57
"smol fish Small Tour (Melbourne)",32
"Clutch 4: Nam-Khar (Germany)",28
"Aboubacar Djelike Kouyate",25
"CINTA.CONTROL GROUP",19
"Winnie and the Wraiths w/ Sophia Maltarollo + Lucy Paterson",59
"Fairtrade Narcotics Reso Week 2",31
"The Albert Steeze Band âRamblerâ Album Launch",49
"DJ",2
"FADS: Queer Rave",16
"Elm Street + Mystery – The Great Tribulation LIVE",49
"Goontex @ The Gaso",18
"The Pokies",10
"'25 Hip Hop",11
"ASCENSION EVENTS pres. B2B",26
"C.U.N.F",7
"DJ Lewy C",9
